player,has_model,fg_pct,fga,pts,reb,ast,team
Luka Doncic,True,0.5239553752535497,23.45841784989858,34.561866125760645,9.916835699797161,8.870182555780932,Team Boricua Squad
Jalen Williams,False,,,,,,Team Boricua Squad
Scottie Barnes,True,0.5294629921259842,13.798425196850394,18.41574803149606,6.935433070866142,6.137007874015748,Team Boricua Squad
Josh Hart,False,,,,,,Team Boricua Squad
Michael Porter Jr.,True,0.43606203473945415,12.962779156327542,14.439205955334987,5.481389578163771,2.468982630272953,Team Boricua Squad
Paul George,False,,,,,,Team Boricua Squad
Tari Eason,True,0.35384076433121014,7.43312101910828,7.222929936305732,6.159235668789808,0.7324840764331211,Team Boricua Squad
Naz Reid,True,0.4994367346938775,6.906122448979592,9.275510204081634,4.071428571428571,1.0714285714285714,Team Boricua Squad
Herbert Jones,True,0.4676827794561934,9.725075528700906,12.43202416918429,5.546827794561933,2.6012084592145013,Team Boricua Squad
Isaiah Collier,False,,,,,,Team Boricua Squad
Keegan Murray,False,,,,,,Team Boricua Squad
Jordan Clarkson,True,0.3781175298804781,12.107569721115537,12.908366533864541,2.6613545816733066,2.4163346613545817,Team Boricua Squad
Gary Trent Jr.,True,0.4369714285714285,12.371428571428572,15.555102040816326,2.979591836734694,1.7040816326530612,Team Boricua Squad
Anthony Davis,True,0.4600295566502463,18.820197044334975,23.76847290640394,11.546798029556651,2.41871921182266,KL2 LLC
Nikola Vucevic,True,0.5295462878093492,16.9147571035747,22.124656278643446,12.012832263978002,2.9532538955087073,KL2 LLC
Jamal Murray,True,0.45922510822510826,16.073593073593074,20.16017316017316,4.021645021645021,5.623376623376624,KL2 LLC
Jordan Poole,True,0.4068007736943907,13.384912959381046,16.425531914893618,1.7543520309477756,3.0851063829787235,KL2 LLC
Reed Sheppard,True,0.3036603773584905,4.716981132075472,4.490566037735849,1.509433962264151,1.490566037735849,KL2 LLC
Jalen Suggs,True,0.5613698113207547,8.788679245283019,12.366037735849057,3.460377358490566,2.818867924528302,KL2 LLC
Shaedon Sharpe,True,0.3758520710059171,13.147928994082841,12.745562130177515,3.0177514792899407,2.4615384615384617,KL2 LLC
Malik Monk,True,0.460551652892562,11.380165289256198,15.146694214876032,2.2541322314049586,2.9152892561983474,KL2 LLC
Buddy Hield,True,0.4620463121783877,12.495711835334475,16.28644939965695,3.222984562607204,1.9897084048027445,KL2 LLC
Ty Jerome,False,,,,,,KL2 LLC
Zaccharie Risacher,True,0.443578947368421,10.421052631578947,12.605263157894736,3.5526315789473686,1.2105263157894737,KL2 LLC
Nikola Jovic,True,0.38034054054054056,5.827027027027027,7.756756756756757,3.4324324324324325,1.0810810810810811,KL2 LLC
Jaylen Wells,True,0.414,8.55,10.4625,3.3875,1.7375,KL2 LLC
